Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
703,1,L,PHC,PHC,26,27,pos,2,3,-187,3.00000000,1,False,0.02127660,3,stage,binned,is_selective
703,1,L,PHC,PHC,26,28,pos,2,1,-82,4.00000000,2,False,0.03056769,3,stage,binned,is_selective
703,1,L,PHC,PHC,26,30,pos,2,1,-250,2.00000000,0,False,0.07936508,3,stage,binned,is_selective
703,1,L,PHC,PHC,26,30,pos,2,2,44,3.00000000,1,False,0.15555556,3,stage,binned,is_selective
703,1,L,PHC,PHC,26,31,pos,2,2,-250,3.00000000,0,False,0.13333333,3,stage,binned,is_selective
703,1,L,PHC,PHC,26,31,pos,2,4,-250,2.00000000,0,False,0.40000000,3,stage,binned,is_selective
703,1,L,PHC,PHC,27,28,pos,3,1,-217,5.00000000,2,False,-0.00358423,3,stage,binned,is_selective
703,1,L,PHC,PHC,27,30,pos,3,1,-250,2.00000000,0,False,0.16666667,3,stage,binned,is_selective
703,1,L,PHC,PHC,27,30,pos,3,2,-109,3.00000000,1,False,-0.02325581,3,stage,binned,is_selective
703,1,L,PHC,PHC,27,31,pos,3,2,-118,3.00000000,1,False,-0.03846154,3,stage,binned,is_selective
703,1,L,PHC,PHC,27,31,pos,3,4,-250,2.00000000,0,False,0.17391304,3,stage,binned,is_selective
703,1,L,PHC,PHC,28,30,pos,1,1,-175,3.00000000,1,False,-0.08943089,3,stage,binned,is_selective
703,1,L,PHC,PHC,28,30,pos,1,2,-160,3.00000000,1,False,0.02189781,3,stage,binned,is_selective
703,1,L,PHC,PHC,28,31,pos,1,2,-16,4.00000000,2,False,-0.00478469,3,stage,binned,is_selective
703,1,L,PHC,PHC,28,31,pos,1,4,-250,3.00000000,1,False,0.03571429,3,stage,binned,is_selective
703,1,L,PHC,PHC,30,31,pos,1,2,-250,1.00000000,0,False,-0.03448276,3,stage,binned,is_selective
703,1,L,PHC,PHC,30,31,pos,1,4,-250,1.00000000,0,False,-0.18181818,3,stage,binned,is_selective
703,1,L,PHC,PHC,30,31,pos,2,2,-7,2.00000000,1,False,0.28813559,3,stage,binned,is_selective
703,1,L,PHC,PHC,30,31,pos,2,4,-250,1.00000000,0,False,-0.04347826,3,stage,binned,is_selective
703,1,R,PHC,PHC,59,64,pos,1,1,-250,1.00000000,0,False,-0.20000000,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,43,pos,1,1,62,345.00000000,339,False,0.00077976,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,43,pos,1,2,23,393.00000000,392,False,0.02766624,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,43,pos,1,3,14,201.00000000,196,False,0.03204131,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,44,pos,1,1,56,300.00000000,276,False,0.01072489,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,44,pos,1,2,146,108.00000000,89,False,0.01983763,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,44,pos,1,3,-25,114.00000000,100,False,0.00138660,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,1,2,-22,432.01000000,442,True,-0.03960026,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,1,3,-19,319.00000000,321,True,-0.04589911,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,1,4,-22,379.00000000,386,True,-0.04189435,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,1,5,14,78.00000000,71,False,-0.06775283,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,43,pos,2,1,110,119.00000000,112,False,0.02605940,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,43,pos,2,2,53,142.00000000,133,False,0.02652918,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,43,pos,2,3,35,75.00000000,62,False,0.04566357,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,44,pos,2,1,146,104.00000000,94,False,0.00427056,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,44,pos,2,2,-211,42.00000000,32,False,0.00779111,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,44,pos,2,3,38,43.00000000,33,False,0.00916684,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,2,2,5,162.00000000,161,False,-0.03527674,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,2,3,-22,121.00000000,120,False,-0.03228951,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,2,4,-25,142.00000000,134,False,-0.01381272,3,stage,binned,is_selective
709,2,L,PHC,PHC,41,45,pos,2,5,-112,33.00000000,26,False,-0.01074676,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,1,1,62,145.00000000,131,False,0.00344744,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,1,2,218,56.00000000,45,False,0.02085781,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,1,3,116,57.00000000,46,False,0.01749396,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,1,2,86,115.00000000,103,False,0.00012516,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,1,3,-115,75.00000000,62,False,-0.00340031,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,1,4,-175,79.00000000,73,False,-0.00635158,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,1,5,-181,19.00000000,12,False,-0.00056402,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,2,1,53,162.00000000,156,False,0.00483850,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,2,2,119,60.00000000,51,False,0.05177994,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,2,3,-43,65.00000000,53,False,0.00719603,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,2,2,44,144.00000000,132,False,0.00139679,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,2,3,-31,89.00000000,77,False,-0.00895625,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,2,4,-67,97.00000000,84,False,-0.02504667,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,2,5,38,23.00000000,16,False,0.01483680,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,3,1,113,74.00000000,67,False,-0.00461826,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,3,2,137,30.00000000,23,False,0.04181818,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,44,pos,3,3,-34,31.00000000,22,False,0.03005058,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,3,2,-184,60.00000000,53,False,-0.02942957,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,3,3,-112,44.00000000,37,False,-0.02896871,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,3,4,65,46.00000000,38,False,-0.02633874,3,stage,binned,is_selective
709,2,L,PHC,PHC,43,45,pos,3,5,-226,12.00000000,7,False,-0.05494505,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,1,2,-142,106.00000000,94,False,-0.00634658,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,1,3,-133,69.00000000,58,False,-0.00646332,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,1,4,-175,76.00000000,65,False,-0.01518260,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,1,5,-73,19.00000000,12,False,-0.00512237,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,2,2,-250,33.00000000,29,False,-0.01855869,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,2,3,-154,24.00000000,18,False,-0.01381112,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,2,4,-91,28.00000000,22,False,-0.03207367,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,2,5,-250,8.00000000,4,False,-0.09090909,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,3,2,-106,41.00000000,34,False,-0.00271528,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,3,3,26,28.00000000,22,False,-0.03432343,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,3,4,-133,30.00000000,25,False,-0.03079605,3,stage,binned,is_selective
709,2,L,PHC,PHC,44,45,pos,3,5,-118,9.00000000,5,False,-0.09658247,3,stage,binned,is_selective
709,2,R,PHC,PHC,93,96,pos,2,1,-19,95.00000000,100,True,0.00741851,3,stage,binned,is_selective
717,1,R,PHC,PHC,73,74,pos,1,1,-202,47.00000000,40,False,-0.02177446,3,stage,binned,is_selective
717,1,R,PHC,PHC,73,75,pos,1,1,-124,21.00000000,14,False,-0.01750973,3,stage,binned,is_selective
717,1,R,PHC,PHC,73,76,pos,1,1,8,60.00000000,65,True,0.03870883,3,stage,binned,is_selective
717,1,R,PHC,PHC,73,76,pos,1,2,-10,46.00000000,43,False,0.03606077,3,stage,binned,is_selective
717,1,R,PHC,PHC,73,78,pos,1,1,-82,104.00000000,99,False,-0.00735749,3,stage,binned,is_selective
717,1,R,PHC,PHC,73,79,pos,1,1,-79,73.00000000,63,False,0.00217459,3,stage,binned,is_selective
717,1,R,PHC,PHC,74,75,pos,1,1,-250,24.00000000,15,False,-0.02205576,3,stage,binned,is_selective
717,1,R,PHC,PHC,74,76,pos,1,1,44,68.00000000,56,False,0.00209108,3,stage,binned,is_selective
