Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
708,1,L,A,A,1,2,pos,1,1,-61,80.00000000,65,False,0.01107517,R,stage,binned,is_selective
708,1,L,A,A,1,2,pos,1,3,74,30.00000000,23,False,0.01388889,R,stage,binned,is_selective
708,1,L,A,A,1,5,pos,1,1,14,288.00000000,277,False,0.02015050,R,stage,binned,is_selective
708,1,L,A,A,1,7,pos,1,3,11,105.01000000,91,False,0.03083887,R,stage,binned,is_selective
708,1,L,A,A,1,8,pos,1,1,17,143.00000000,129,False,0.03450694,R,stage,binned,is_selective
708,1,L,A,A,1,8,pos,1,2,8,119.00000000,106,False,0.01990297,R,stage,binned,is_selective
708,1,L,A,A,2,5,pos,1,1,23,85.00000000,77,False,0.01398239,R,stage,binned,is_selective
708,1,L,A,A,2,7,pos,1,3,-250,31.00000000,27,False,0.00862069,R,stage,binned,is_selective
708,1,L,A,A,2,8,pos,1,1,23,47.00000000,38,False,-0.00767888,R,stage,binned,is_selective
708,1,L,A,A,2,8,pos,1,2,179,40.00000000,31,False,0.03130435,R,stage,binned,is_selective
708,1,L,A,A,2,5,pos,3,1,41,33.00000000,25,False,0.03471503,R,stage,binned,is_selective
708,1,L,A,A,2,7,pos,3,3,-151,16.00000000,10,False,0.01196809,R,stage,binned,is_selective
708,1,L,A,A,2,8,pos,3,1,-31,19.00000000,12,False,0.02965865,R,stage,binned,is_selective
708,1,L,A,A,2,8,pos,3,2,62,15.00000000,10,False,0.02325581,R,stage,binned,is_selective
708,1,L,A,A,5,7,pos,1,3,11,184.00000000,180,False,0.01088755,R,stage,binned,is_selective
708,1,L,A,A,5,8,pos,1,1,-22,234.00000000,240,True,-0.00824388,R,stage,binned,is_selective
708,1,L,A,A,5,8,pos,1,2,-13,187.00000000,196,True,-0.01169613,R,stage,binned,is_selective
708,1,L,A,A,7,8,pos,3,1,-43,81.00000000,76,False,-0.02031308,R,stage,binned,is_selective
708,1,L,A,A,7,8,pos,3,2,-31,65.00000000,64,False,-0.02692955,R,stage,binned,is_selective
716,1,R,A,A,42,47,pos,1,2,14,974.00000000,1023,True,0.01369897,R,stage,binned,is_selective
707,1,L,A,A,2,4,pos,1,2,-31,17.00000000,11,False,-0.04563233,R,stage,binned,is_selective
707,1,L,A,A,2,4,pos,1,5,-226,7.00000000,3,False,-0.04018913,R,stage,binned,is_selective
707,1,L,A,A,2,7,pos,1,1,-31,15.00000000,9,False,-0.00458015,R,stage,binned,is_selective
707,1,L,A,A,2,7,pos,1,2,-250,12.00000000,7,False,-0.04899135,R,stage,binned,is_selective
707,1,L,A,A,2,4,pos,4,2,-172,6.00000000,2,False,0.00917431,R,stage,binned,is_selective
707,1,L,A,A,2,4,pos,4,5,-70,3.00000000,1,False,-0.02222222,R,stage,binned,is_selective
707,1,L,A,A,2,7,pos,4,1,-250,5.00000000,2,False,-0.10869565,R,stage,binned,is_selective
707,1,L,A,A,2,7,pos,4,2,-250,4.00000000,1,False,0.01639344,R,stage,binned,is_selective
707,1,L,A,A,4,7,pos,2,1,29,12.00000000,8,False,0.08039216,R,stage,binned,is_selective
707,1,L,A,A,4,7,pos,2,2,-34,12.00000000,7,False,0.03771662,R,stage,binned,is_selective
707,1,L,A,A,4,7,pos,5,1,-250,5.00000000,2,False,0.01840491,R,stage,binned,is_selective
707,1,L,A,A,4,7,pos,5,2,-220,5.00000000,2,False,0.04797048,R,stage,binned,is_selective
711,4,L,A,A,1,3,pos,1,2,2,25.00000000,19,False,0.01536098,R,stage,binned,is_selective
