Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
712,1,R,AH,AH,57,59,pos,2,1,23,27.00000000,47,True,0.15448578,W,highend,intersection,is_no_resp
712,1,R,AH,AH,57,62,pos,2,1,-4,35.00000000,62,True,0.08312655,W,highend,intersection,is_no_resp
712,1,R,AH,AH,58,59,pos,2,1,2,42.00000000,56,True,0.05351718,W,highend,intersection,is_no_resp
712,1,R,AH,AH,58,62,pos,2,1,-40,35.00000000,40,True,-0.11584068,W,highend,intersection,is_no_resp
712,1,R,AH,MH,57,74,pos,2,2,-70,15.00000000,12,False,-0.19474836,W,highend,intersection,is_no_resp
712,1,R,AH,MH,59,74,pos,1,2,125,12.00000000,10,False,0.10070922,W,highend,intersection,is_no_resp
712,1,R,AH,MH,62,74,pos,1,3,-22,15.00000000,10,False,-0.15276273,W,highend,intersection,is_no_resp
710,1,L,AH,AH,11,14,pos,2,2,-7,33.00000000,36,True,-0.05496689,W,highend,intersection,is_no_resp
710,1,L,AH,MH,11,26,pos,2,5,-10,16.00000000,13,False,-0.02205177,W,highend,intersection,is_no_resp
710,1,L,AH,MH,11,26,pos,5,2,-31,16.00000000,13,False,-0.09544282,W,highend,intersection,is_no_resp
710,1,L,AH,MH,14,26,pos,4,2,-13,18.00000000,16,False,-0.13455657,W,highend,intersection,is_no_resp
710,1,L,AH,MH,14,26,pos,6,2,-145,6.00000000,2,False,-0.00429185,W,highend,intersection,is_no_resp
710,1,L,AH,MH,15,26,pos,4,2,-10,10.00000000,5,False,0.12068966,W,highend,intersection,is_no_resp
710,1,L,AH,MH,15,26,pos,5,2,-1,8.01000000,5,False,0.08888889,W,highend,intersection,is_no_resp
710,1,R,AH,AH,49,51,pos,4,3,-103,6.00000000,3,False,-0.03750000,W,highend,intersection,is_no_resp
710,1,R,AH,AH,49,53,pos,4,5,-13,6.00000000,4,False,-0.03684211,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,53,pos,1,3,-52,4.00000000,1,False,0.09090909,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,56,pos,1,2,44,6.00000000,3,False,0.23735409,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,53,pos,2,3,-4,5.00000000,1,False,0.22935780,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,56,pos,2,2,-64,3.00000000,1,False,0.05128205,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,53,pos,3,3,-49,4.00000000,2,False,0.01666667,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,56,pos,3,2,-10,4.00000000,2,False,0.04411765,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,53,pos,4,3,-67,6.00000000,2,False,-0.08641975,W,highend,intersection,is_no_resp
710,1,R,AH,AH,50,56,pos,4,2,-166,4.00000000,1,False,0.14074074,W,highend,intersection,is_no_resp
710,1,R,AH,AH,51,55,pos,3,2,-16,8.00000000,6,False,-0.05371901,W,highend,intersection,is_no_resp
710,1,R,AH,AH,51,56,pos,3,4,-34,6.00000000,3,False,0.00000000,W,highend,intersection,is_no_resp
710,1,R,AH,AH,51,53,pos,4,5,-55,5.00000000,3,False,-0.20784314,W,highend,intersection,is_no_resp
710,1,R,AH,AH,51,53,pos,5,3,-13,4.00000000,2,False,0.30263158,W,highend,intersection,is_no_resp
710,1,R,AH,AH,51,56,pos,5,2,143,4.00000000,2,False,0.10000000,W,highend,intersection,is_no_resp
710,1,R,AH,AH,53,56,pos,3,6,-232,3.00000000,1,False,-0.07368421,W,highend,intersection,is_no_resp
710,1,R,AH,AH,53,55,pos,5,2,-1,11.00000000,8,False,0.01391036,W,highend,intersection,is_no_resp
710,1,R,AH,AH,53,56,pos,5,4,-19,6.00000000,5,False,-0.16504854,W,highend,intersection,is_no_resp
710,1,R,AH,MH,49,68,pos,4,1,71,11.00000000,6,False,0.12140575,W,highend,intersection,is_no_resp
710,1,R,AH,MH,49,70,pos,4,2,8,13.00000000,8,False,-0.00677201,W,highend,intersection,is_no_resp
710,1,R,AH,MH,49,71,pos,4,1,-103,7.00000000,3,False,-0.10086455,W,highend,intersection,is_no_resp
710,1,R,AH,MH,51,70,pos,3,1,-127,8.00000000,4,False,-0.06976744,W,highend,intersection,is_no_resp
710,1,R,AH,MH,51,70,pos,3,3,8,6.00000000,3,False,0.20689655,W,highend,intersection,is_no_resp
710,1,R,AH,MH,51,71,pos,3,2,-55,9.00000000,5,False,-0.06617647,W,highend,intersection,is_no_resp
710,1,R,AH,MH,51,68,pos,4,1,167,6.00000000,3,False,0.04511278,W,highend,intersection,is_no_resp
710,1,R,AH,MH,51,70,pos,4,2,-100,6.00000000,3,False,-0.03050847,W,highend,intersection,is_no_resp
710,1,R,AH,MH,51,71,pos,4,1,-79,4.00000000,2,False,-0.04424779,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,68,pos,3,4,-184,5.00000000,2,False,-0.28795812,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,69,pos,3,4,-226,5.00000000,2,False,-0.13675214,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,70,pos,3,4,-220,5.00000000,2,False,-0.14583333,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,71,pos,3,4,-76,7.00000000,3,False,-0.15050167,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,71,pos,3,5,-217,4.00000000,1,False,-0.19587629,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,70,pos,5,1,11,12.00000000,6,False,0.05226481,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,70,pos,5,3,23,8.00000000,4,False,0.14186851,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,71,pos,5,2,113,12.01000000,8,False,-0.04901961,W,highend,intersection,is_no_resp
710,1,R,AH,MH,53,71,pos,6,1,-124,3.00000000,1,False,0.08928571,W,highend,intersection,is_no_resp
710,1,R,AH,MH,55,68,pos,2,1,-40,7.00000000,3,False,0.20577617,W,highend,intersection,is_no_resp
710,1,R,AH,MH,55,70,pos,2,2,-13,9.00000000,4,False,0.16043956,W,highend,intersection,is_no_resp
710,1,R,AH,MH,55,71,pos,2,1,-181,4.00000000,1,False,0.19780220,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,68,pos,2,4,-43,5.00000000,2,False,-0.12707182,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,69,pos,2,4,-70,6.00000000,2,False,-0.05882353,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,70,pos,2,4,-55,6.00000000,2,False,-0.12359551,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,70,pos,2,5,5,6.00000000,2,False,0.04651163,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,71,pos,2,4,-154,7.00000000,3,False,-0.22627737,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,71,pos,2,5,-199,5.00000000,1,False,-0.36633663,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,68,pos,4,1,29,9.00000000,4,False,-0.02575107,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,70,pos,4,2,-7,10.00000000,5,False,-0.03250478,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,71,pos,4,1,-85,5.00000000,2,False,-0.20000000,W,highend,intersection,is_no_resp
710,1,R,AH,MH,56,71,pos,5,1,-160,4.00000000,1,False,0.16666667,W,highend,intersection,is_no_resp
710,1,R,MH,MH,68,70,pos,1,1,2,35.00000000,46,True,-0.04650427,W,highend,intersection,is_no_resp
710,1,R,MH,MH,68,70,pos,1,3,8,25.00000000,24,False,0.01383399,W,highend,intersection,is_no_resp
710,1,R,MH,MH,68,71,pos,1,2,-34,48.01000000,73,True,-0.17965681,W,highend,intersection,is_no_resp
710,1,R,MH,MH,68,71,pos,2,1,-1,19.01000000,17,False,0.24657534,W,highend,intersection,is_no_resp
710,1,R,MH,MH,69,70,pos,3,2,2,16.00000000,12,False,-0.12142857,W,highend,intersection,is_no_resp
710,1,R,MH,MH,69,71,pos,3,1,14,14.00000000,11,False,0.16227181,W,highend,intersection,is_no_resp
710,1,R,MH,MH,70,71,pos,1,1,-10,22.00000000,17,False,0.18600368,W,highend,intersection,is_no_resp
710,1,R,MH,MH,70,71,pos,2,2,-1,60.00000000,85,True,-0.08306709,W,highend,intersection,is_no_resp
710,1,R,MH,MH,70,71,pos,3,1,2,16.00000000,11,False,0.14396135,W,highend,intersection,is_no_resp
716,1,L,AH,MH,12,28,pos,5,1,203,5.00000000,2,False,0.18660287,W,highend,intersection,is_no_resp
711,4,R,AH,AH,54,55,pos,5,1,2,96.00000000,121,True,-0.00385132,W,highend,intersection,is_no_resp
711,4,R,AH,AH,54,55,pos,6,1,5,97.00000000,158,True,0.12428167,W,highend,intersection,is_no_resp
713,1,R,AH,AH,58,63,pos,1,1,-1,5.00000000,2,False,0.00478469,W,highend,intersection,is_no_resp
713,1,R,AH,MH,58,76,pos,1,3,-250,1.00000000,0,False,-0.05882353,W,highend,intersection,is_no_resp
713,1,R,AH,MH,58,76,pos,1,4,-250,0.00000000,0,False,0.00000000,W,highend,intersection,is_no_resp
713,1,R,AH,MH,58,76,pos,1,5,-250,1.00000000,0,False,-0.16666667,W,highend,intersection,is_no_resp
702,1,L,AH,MH,15,34,pos,2,3,-100,14.00000000,4,False,-0.00613497,W,highend,intersection,is_no_resp
702,1,L,MH,PH,34,44,pos,3,1,-67,12.00000000,7,False,-0.15091211,W,highend,intersection,is_no_resp
704,1,R,AH,MH,52,67,pos,2,3,62,22.00000000,9,False,-0.01176471,W,highend,intersection,is_no_resp
704,1,R,AH,MH,52,71,pos,2,4,-250,6.00000000,2,False,-0.23943662,W,highend,intersection,is_no_resp
704,1,R,AH,MH,52,71,pos,3,4,68,7.00000000,2,False,0.14074074,W,highend,intersection,is_no_resp
704,1,R,AH,MH,52,67,pos,4,1,74,32.00000000,15,False,0.00990099,W,highend,intersection,is_no_resp
704,1,R,AH,MH,52,67,pos,4,3,-43,26.00000000,13,False,-0.17128205,W,highend,intersection,is_no_resp
704,1,R,AH,MH,52,71,pos,4,3,35,10.00000000,3,False,0.17482517,W,highend,intersection,is_no_resp
704,1,R,AH,MH,52,71,pos,5,2,-250,2.00000000,0,False,0.00000000,W,highend,intersection,is_no_resp
704,1,R,MH,MH,67,71,pos,1,4,-250,9.00000000,5,False,-0.00558659,W,highend,intersection,is_no_resp
704,1,R,MH,MH,67,71,pos,3,3,-13,14.00000000,7,False,-0.10920771,W,highend,intersection,is_no_resp
704,1,R,MH,MH,67,71,pos,3,4,119,8.00000000,3,False,0.05319149,W,highend,intersection,is_no_resp
704,1,R,MH,MH,67,71,pos,5,2,41,6.01000000,2,False,0.12727273,W,highend,intersection,is_no_resp
704,1,R,MH,MH,67,71,pos,6,2,-175,8.00000000,2,False,-0.16483516,W,highend,intersection,is_no_resp
704,1,R,MH,MH,67,71,pos,7,2,-127,5.00000000,1,False,0.09259259,W,highend,intersection,is_no_resp
704,2,R,MH,MH,67,71,pos,3,3,89,11.00000000,3,False,0.02272727,W,highend,intersection,is_no_resp
704,2,R,MH,MH,67,71,pos,3,4,-37,4.00000000,1,False,-0.02000000,W,highend,intersection,is_no_resp
704,2,R,MH,MH,67,71,pos,4,2,41,16.00000000,6,False,-0.00914077,W,highend,intersection,is_no_resp
712,2,R,AH,MH,63,74,pos,2,1,-76,4.01000000,2,False,0.07407407,W,highend,intersection,is_no_resp
708,1,L,MH,MH,29,32,pos,2,1,140,27.00000000,17,False,0.16178589,W,highend,intersection,is_no_resp
716,2,L,MH,MH,28,29,pos,1,1,14,12.00000000,8,False,0.11785298,W,highend,intersection,is_selective
716,2,R,AH,MH,56,67,pos,1,1,2,57.00000000,48,False,-0.06510797,W,highend,intersection,is_selective
716,2,R,AH,MH,56,67,pos,1,2,38,29.00000000,19,False,0.00997009,W,highend,intersection,is_selective
716,2,R,AH,MH,56,69,pos,1,1,-7,8.00000000,4,False,-0.07226107,W,highend,intersection,is_selective
716,2,R,MH,MH,67,69,pos,1,1,14,152.00000000,139,False,0.05837017,W,highend,intersection,is_selective
716,2,R,MH,MH,67,69,pos,2,1,-28,86.00000000,63,False,-0.00744417,W,highend,intersection,is_selective
716,1,L,AH,MH,12,28,pos,1,2,-136,12.00000000,6,False,-0.09222423,W,highend,intersection,is_selective
716,1,L,AH,MH,12,30,pos,1,2,107,13.00000000,11,False,0.09650053,W,highend,intersection,is_selective
716,1,L,MH,MH,28,30,pos,2,2,-133,6.00000000,3,False,0.03773585,W,highend,intersection,is_selective
716,1,R,AH,AH,49,50,pos,3,4,35,25.00000000,14,False,0.18655241,W,highend,intersection,is_selective
716,1,R,AH,AH,49,52,pos,3,1,56,10.00000000,4,False,0.08301887,W,highend,intersection,is_selective
716,1,R,AH,AH,49,52,pos,3,2,-199,10.00000000,5,False,-0.25342466,W,highend,intersection,is_selective
716,1,R,AH,AH,49,56,pos,3,1,41,20.00000000,14,False,0.40052585,W,highend,intersection,is_selective
716,1,R,AH,AH,49,56,pos,3,2,-10,13.00000000,6,False,0.17551020,W,highend,intersection,is_selective
716,1,R,AH,AH,50,52,pos,4,1,-16,30.00000000,26,False,-0.03669065,W,highend,intersection,is_selective
716,1,R,AH,AH,50,52,pos,4,2,8,35.00000000,29,False,-0.01850167,W,highend,intersection,is_selective
716,1,R,AH,AH,50,56,pos,4,1,-28,27.00000000,21,False,-0.07070707,W,highend,intersection,is_selective
716,1,R,AH,AH,50,56,pos,4,2,-103,17.00000000,11,False,-0.08914729,W,highend,intersection,is_selective
716,1,R,AH,AH,52,56,pos,1,1,-19,25.00000000,22,False,-0.02085890,W,highend,intersection,is_selective
716,1,R,AH,AH,52,56,pos,1,2,-19,14.00000000,11,False,0.03422053,W,highend,intersection,is_selective
716,1,R,AH,AH,52,56,pos,2,1,-73,20.00000000,15,False,0.01487943,W,highend,intersection,is_selective
716,1,R,AH,AH,52,56,pos,2,2,5,13.00000000,11,False,0.05209397,W,highend,intersection,is_selective
716,1,R,AH,MH,49,66,pos,3,1,-46,6.00000000,2,False,0.07964602,W,highend,intersection,is_selective
716,1,R,AH,MH,50,66,pos,4,1,-157,8.00000000,4,False,-0.16612378,W,highend,intersection,is_selective
716,1,R,AH,MH,52,66,pos,1,1,-13,8.00000000,4,False,0.47333333,W,highend,intersection,is_selective
716,1,R,AH,MH,52,66,pos,2,1,-250,6.00000000,4,False,-0.08196721,W,highend,intersection,is_selective
716,1,R,AH,MH,56,66,pos,1,1,-1,15.00000000,7,False,0.01764706,W,highend,intersection,is_selective
716,1,R,AH,MH,56,66,pos,2,1,-55,18.00000000,9,False,0.08196721,W,highend,intersection,is_selective
704,2,L,AH,MH,9,29,pos,3,1,41,21.00000000,14,False,0.32388664,W,highend,intersection,is_selective
704,2,L,AH,MH,9,29,pos,3,4,35,7.00000000,3,False,0.78666667,W,highend,intersection,is_selective
704,2,R,MH,MH,67,71,pos,1,1,-4,37.00000000,23,False,-0.00789889,W,highend,intersection,is_selective
704,2,R,MH,MH,67,71,pos,1,5,41,13.00000000,5,False,0.11967546,W,highend,intersection,is_selective
704,2,R,MH,MH,67,71,pos,2,1,23,18.00000000,11,False,-0.04872881,W,highend,intersection,is_selective
704,2,R,MH,MH,67,71,pos,2,5,-4,9.00000000,3,False,-0.13004484,W,highend,intersection,is_selective
715,1,R,MH,MH,65,67,pos,1,1,-193,10.00000000,7,False,-0.17877095,W,highend,intersection,is_selective
715,1,R,MH,MH,65,67,pos,1,4,2,10.00000000,6,False,0.03140496,W,highend,intersection,is_selective
715,1,R,MH,MH,65,70,pos,1,2,-250,2.00000000,1,False,-0.01265823,W,highend,intersection,is_selective
715,1,R,MH,MH,67,70,pos,1,2,-250,2.00000000,0,False,0.27272727,W,highend,intersection,is_selective
715,1,R,MH,MH,67,70,pos,4,2,26,4.00000000,1,False,0.34328358,W,highend,intersection,is_selective
707,2,R,AH,AH,43,48,pos,1,1,-7,56.00000000,84,True,0.03926662,W,highend,intersection,is_selective
707,2,R,AH,AH,43,48,pos,1,6,-13,14.00000000,17,True,-0.16633267,W,highend,intersection,is_selective
706,3,L,AH,AH,10,12,pos,1,1,-124,17.00000000,5,False,-0.27777778,W,highend,intersection,is_selective
704,1,L,AH,MH,9,27,pos,1,1,-52,48.00000000,31,False,0.01383989,W,highend,intersection,is_selective
704,1,L,AH,MH,9,27,pos,3,1,146,16.00000000,8,False,0.16483516,W,highend,intersection,is_selective
704,1,L,AH,MH,9,27,pos,7,1,185,6.00000000,3,False,0.08225108,W,highend,intersection,is_selective
704,1,R,AH,AH,49,52,pos,1,1,-97,26.00000000,14,False,-0.20853540,W,highend,intersection,is_selective
704,1,R,AH,AH,49,56,pos,1,1,-7,20.00000000,7,False,-0.10869565,W,highend,intersection,is_selective
704,1,R,AH,AH,49,52,pos,2,1,116,17.00000000,6,False,-0.01240695,W,highend,intersection,is_selective
