Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
717,1,R,A,A,42,46,pos,1,1,-19,1447.00000000,1496,True,-0.00232879,W,stage,binned,is_selective
704,1,R,A,A,41,42,pos,1,1,-10,148.00000000,163,True,0.01872097,W,stage,binned,is_selective
704,1,R,A,A,41,42,pos,1,4,-4,14.00000000,12,False,0.05057096,W,stage,binned,is_selective
704,1,R,A,A,41,44,pos,1,1,-7,55.00000000,55,False,-0.00761990,W,stage,binned,is_selective
704,1,R,A,A,41,42,pos,2,1,-1,247.00000000,1290,True,0.12881929,W,stage,binned,is_selective
704,1,R,A,A,41,42,pos,2,4,-10,16.00000000,15,False,-0.05182073,W,stage,binned,is_selective
704,1,R,A,A,41,44,pos,2,1,-10,64.00000000,71,True,-0.00615915,W,stage,binned,is_selective
704,1,R,A,A,41,42,pos,3,1,-1,176.00000000,830,True,0.25805570,W,stage,binned,is_selective
704,1,R,A,A,41,42,pos,3,4,-10,13.00000000,21,True,-0.08239700,W,stage,binned,is_selective
704,1,R,A,A,41,44,pos,3,1,-13,50.00000000,81,True,-0.06967283,W,stage,binned,is_selective
704,1,R,A,A,42,44,pos,1,1,-13,205.00000000,187,False,0.01618123,W,stage,binned,is_selective
704,1,R,A,A,42,44,pos,4,1,-10,18.00000000,17,False,0.01576182,W,stage,binned,is_selective
706,4,L,A,A,4,6,pos,1,1,-1,387.01000000,437,True,0.02066932,W,stage,binned,is_selective
704,2,R,A,A,41,42,pos,1,1,-1,43.00000000,53,True,0.00350331,W,stage,binned,is_selective
709,1,L,A,A,1,6,pos,1,1,-1,1684.01000000,1815,True,0.00251371,W,stage,binned,is_selective
709,1,L,A,A,1,7,pos,1,1,-10,698.00000000,694,False,-0.00318089,W,stage,binned,is_selective
709,1,L,A,A,1,8,pos,1,2,-82,245.00000000,223,False,-0.00193105,W,stage,binned,is_selective
709,1,L,A,A,6,7,pos,1,1,-10,879.00000000,963,True,-0.00310964,W,stage,binned,is_selective
709,1,L,A,A,6,8,pos,1,2,-22,254.00000000,245,False,-0.03143660,W,stage,binned,is_selective
709,1,L,A,A,7,8,pos,1,2,-16,112.00000000,98,False,0.01742672,W,stage,binned,is_selective
708,1,L,A,A,1,2,pos,1,1,11,249.00000000,228,False,0.01393553,W,stage,binned,is_selective
708,1,L,A,A,1,2,pos,1,3,-16,164.00000000,148,False,0.01734358,W,stage,binned,is_selective
708,1,L,A,A,1,5,pos,1,1,17,1667.00000000,1772,True,0.01622578,W,stage,binned,is_selective
708,1,L,A,A,1,7,pos,1,3,32,685.00000000,669,False,0.00999584,W,stage,binned,is_selective
708,1,L,A,A,1,8,pos,1,1,17,746.01000000,739,False,0.01420023,W,stage,binned,is_selective
708,1,L,A,A,1,8,pos,1,2,20,610.00000000,611,True,0.02790037,W,stage,binned,is_selective
708,1,L,A,A,2,5,pos,1,1,17,262.00000000,270,True,0.01837859,W,stage,binned,is_selective
708,1,L,A,A,2,7,pos,1,3,44,87.00000000,81,False,0.03400428,W,stage,binned,is_selective
708,1,L,A,A,2,8,pos,1,1,8,129.00000000,120,False,0.01471650,W,stage,binned,is_selective
708,1,L,A,A,2,8,pos,1,2,8,112.00000000,109,False,0.03364315,W,stage,binned,is_selective
708,1,L,A,A,2,5,pos,3,1,20,172.00000000,169,False,-0.00443120,W,stage,binned,is_selective
708,1,L,A,A,2,7,pos,3,3,8,85.00000000,77,False,-0.02569481,W,stage,binned,is_selective
708,1,L,A,A,2,8,pos,3,1,-58,92.00000000,83,False,-0.00380598,W,stage,binned,is_selective
708,1,L,A,A,2,8,pos,3,2,-34,74.00000000,67,False,0.00617866,W,stage,binned,is_selective
