Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
709,4,L,PHC,PHC,41,42,pos,1,1,-28,566.00000000,563,False,0.00331318,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,42,pos,1,2,29,571.00000000,553,False,0.00175307,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,45,pos,1,3,-4,243.00000000,267,True,0.01572906,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,48,pos,1,1,-100,428.00000000,446,True,0.00281580,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,42,pos,4,1,-88,66.00000000,58,False,-0.01166247,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,42,pos,4,2,-127,68.00000000,59,False,-0.01173345,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,45,pos,4,3,-157,31.00000000,27,False,0.00695797,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,48,pos,4,1,-109,50.00000000,44,False,0.01246106,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,42,pos,5,1,44,96.00000000,84,False,0.00545620,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,42,pos,5,2,155,84.00000000,79,False,0.02108358,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,45,pos,5,3,-25,38.00000000,34,False,0.00311804,W,stage,binned,is_selective
709,4,L,PHC,PHC,41,48,pos,5,1,20,70.00000000,61,False,0.02402796,W,stage,binned,is_selective
709,4,L,PHC,PHC,42,45,pos,1,3,-28,254.00000000,245,False,0.00270299,W,stage,binned,is_selective
709,4,L,PHC,PHC,42,48,pos,1,1,26,407.00000000,395,False,0.01259266,W,stage,binned,is_selective
709,4,L,PHC,PHC,42,45,pos,2,3,95,324.00000000,309,False,0.00899243,W,stage,binned,is_selective
709,4,L,PHC,PHC,42,48,pos,2,1,-34,470.01000000,446,False,0.00115251,W,stage,binned,is_selective
709,4,L,PHC,PHC,45,48,pos,3,1,50,200.00000000,227,True,0.04801925,W,stage,binned,is_selective
703,2,L,PHC,PHC,27,29,pos,1,2,-133,48.00000000,40,False,-0.00327191,W,stage,binned,is_selective
703,2,L,PHC,PHC,27,29,pos,1,17,-169,8.00000000,4,False,0.03202847,W,stage,binned,is_selective
703,2,L,PHC,PHC,27,29,pos,2,2,2,28.00000000,20,False,0.01185235,W,stage,binned,is_selective
703,2,L,PHC,PHC,27,29,pos,2,17,-250,4.00000000,1,False,-0.04040404,W,stage,binned,is_selective
704,2,L,PHC,PHC,35,38,pos,1,2,-16,282.00000000,261,False,0.00906330,W,stage,binned,is_selective
704,2,L,PHC,PHC,35,38,pos,1,3,11,87.00000000,74,False,0.01930502,W,stage,binned,is_selective
