Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
713,2,L,PHC,PHC,42,46,pos,1,1,-31,19.00000000,14,False,0.01812367,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,1,2,-10,29.00000000,29,False,-0.01424501,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,1,3,-7,25.00000000,21,False,-0.01661392,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,1,4,-10,17.00000000,14,False,-0.00194932,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,1,5,-25,9.00000000,6,False,0.00155039,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,1,6,-25,7.00000000,4,False,-0.04368932,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,2,1,50,10.00000000,7,False,0.05134474,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,2,2,-31,15.00000000,11,False,-0.02501895,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,2,3,26,13.00000000,9,False,0.07592593,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,2,4,-103,9.00000000,5,False,0.00638978,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,2,5,-7,5.00000000,2,False,0.11553785,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,2,6,-220,4.00000000,1,False,0.04938272,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,4,1,-250,5.00000000,2,False,0.02389078,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,4,2,35,7.00000000,4,False,0.16666667,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,4,3,-4,6.00000000,3,False,0.06217617,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,4,4,-184,5.00000000,2,False,-0.07279693,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,4,5,-250,2.00000000,0,False,0.03225806,W,stage,binned,is_no_resp
713,2,L,PHC,PHC,42,46,pos,4,6,-250,2.00000000,0,False,0.13513514,W,stage,binned,is_no_resp
