Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
707,1,L,A,A,1,2,pos,1,2,236,11.00000000,8,False,0.00220751,W,stage,binned,is_no_resp
707,1,L,A,A,1,2,pos,1,3,-109,3.00000000,1,False,0.17460317,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,1,1,-13,33.00000000,25,False,-0.00374332,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,1,3,155,18.00000000,12,False,0.08825397,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,1,4,-121,4.00000000,3,False,-0.06382979,W,stage,binned,is_no_resp
707,1,L,A,A,1,5,pos,1,1,-250,5.00000000,2,False,-0.07299270,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,1,1,-250,14.00000000,7,False,-0.03053435,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,1,2,-250,13.00000000,10,False,0.02616822,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,1,3,-88,6.00000000,3,False,-0.05780347,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,1,4,-229,4.00000000,1,False,-0.17880795,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,1,5,-250,4.00000000,2,False,0.04301075,W,stage,binned,is_no_resp
707,1,L,A,A,1,2,pos,2,2,113,13.00000000,8,False,0.02175970,W,stage,binned,is_no_resp
707,1,L,A,A,1,2,pos,2,3,-130,4.00000000,1,False,-0.02290076,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,2,1,-79,36.00000000,28,False,-0.01663498,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,2,3,-19,21.00000000,16,False,0.05440539,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,2,4,-70,5.00000000,2,False,0.04489796,W,stage,binned,is_no_resp
707,1,L,A,A,1,5,pos,2,1,-10,5.00000000,3,False,-0.20819113,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,2,1,-19,15.00000000,9,False,0.01694915,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,2,2,-172,14.00000000,9,False,0.05178702,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,2,3,-136,7.00000000,4,False,-0.08924485,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,2,4,-202,3.00000000,1,False,-0.00826446,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,2,5,-127,5.00000000,2,False,-0.09767442,W,stage,binned,is_no_resp
707,1,L,A,A,1,2,pos,3,2,-67,15.00000000,10,False,0.01828822,W,stage,binned,is_no_resp
707,1,L,A,A,1,2,pos,3,3,-1,6.00000000,4,False,0.10400000,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,3,1,5,43.00000000,45,True,0.02986248,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,3,3,-1,20.00000000,14,False,0.01494075,W,stage,binned,is_no_resp
707,1,L,A,A,1,4,pos,3,4,-13,5.00000000,2,False,0.26984127,W,stage,binned,is_no_resp
707,1,L,A,A,1,5,pos,3,1,-55,10.00000000,6,False,0.04372355,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,3,1,8,21.00000000,17,False,-0.00098814,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,3,2,80,17.00000000,11,False,0.01749838,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,3,3,-91,11.00000000,6,False,-0.00824499,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,3,4,-55,6.00000000,3,False,-0.15523466,W,stage,binned,is_no_resp
707,1,L,A,A,1,8,pos,3,5,-199,7.00000000,4,False,-0.17482517,W,stage,binned,is_no_resp
707,1,L,A,A,2,4,pos,2,1,-208,28.00000000,21,False,-0.01686122,W,stage,binned,is_no_resp
707,1,L,A,A,2,4,pos,2,3,92,10.00000000,6,False,0.11568123,W,stage,binned,is_no_resp
707,1,L,A,A,2,4,pos,2,4,-232,4.00000000,1,False,-0.13669065,W,stage,binned,is_no_resp
707,1,L,A,A,2,5,pos,2,1,-40,4.00000000,2,False,-0.10344828,W,stage,binned,is_no_resp
707,1,L,A,A,2,8,pos,2,1,143,14.00000000,9,False,0.00082169,W,stage,binned,is_no_resp
707,1,L,A,A,2,8,pos,2,2,-220,14.00000000,8,False,-0.07207954,W,stage,binned,is_no_resp
707,1,L,A,A,2,8,pos,2,3,152,6.00000000,3,False,0.17500000,W,stage,binned,is_no_resp
