Patient,Session,Hemisphere,Region1,Region2,Channel1,Channel2,Sign,Cluster1,Cluster2,x_peak,percentile_x_peak,y_peak,significant,asymmetry,stage,frequcutoff,mergemethod,utype
704,2,L,PHC,PHC,33,35,pos,2,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,35,pos,2,6,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,36,pos,2,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,37,pos,2,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,37,pos,2,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,2,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,2,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,2,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,35,pos,3,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,35,pos,3,6,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,36,pos,3,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,37,pos,3,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,37,pos,3,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,3,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,3,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,3,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,35,pos,4,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,35,pos,4,6,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,36,pos,4,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,37,pos,4,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,37,pos,4,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,4,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,4,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,33,38,pos,4,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,36,pos,3,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,37,pos,3,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,37,pos,3,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,38,pos,3,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,38,pos,3,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,38,pos,3,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,36,pos,6,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,37,pos,6,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,37,pos,6,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,38,pos,6,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,38,pos,6,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,35,38,pos,6,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,36,37,pos,4,3,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,36,37,pos,4,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,36,38,pos,4,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,36,38,pos,4,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,36,38,pos,4,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,37,38,pos,3,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,37,38,pos,3,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,37,38,pos,3,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,37,38,pos,4,1,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,37,38,pos,4,5,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
704,2,L,PHC,PHC,37,38,pos,4,7,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,41,45,pos,2,1,65,24.00000000,17,False,0.01157025,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,41,45,pos,2,2,101,27.00000000,20,False,0.04479718,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,41,48,pos,2,2,17,9.00000000,5,False,0.00162602,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,41,48,pos,2,4,-250,1.00000000,0,False,0.22580645,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,45,48,pos,1,2,-67,6.00000000,3,False,0.0,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,45,48,pos,1,4,-250,1.00000000,0,False,0.46666667,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,45,48,pos,2,2,-250,6.00000000,3,False,0.00609756,W,stage,binned,is_no_resp
709,4,L,PHC,PHC,45,48,pos,2,4,-250,1.00000000,0,False,-0.375,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,1,1,-25,19.00000000,14,False,-0.02217638,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,1,2,-181,6.00000000,3,False,0.01015228,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,1,3,-250,1.00000000,0,False,0.14285714,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,1,4,-250,2.00000000,0,False,0.30769231,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,27,pos,1,3,-127,2.00000000,1,False,-0.12121212,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,27,pos,1,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,1,1,-25,9.00000000,5,False,0.00815661,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,1,3,-250,2.00000000,0,False,0.08333333,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,1,4,-250,0.00000000,0,False,0.0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,1,5,-250,3.00000000,0,False,-0.01449275,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,2,1,-229,5.00000000,2,False,0.08441558,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,2,2,-250,2.00000000,0,False,0.0617284,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,2,3,-250,1.00000000,0,False,-0.33333333,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,2,4,-250,1.00000000,0,False,-0.11111111,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,27,pos,2,3,-250,1.00000000,0,False,0.25,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,27,pos,2,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,2,1,-250,3.00000000,1,False,-0.09473684,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,2,3,-250,1.00000000,0,False,0.07692308,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,2,4,-250,0.00000000,0,False,1.0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,2,5,-250,1.00000000,0,False,0.14285714,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,3,1,-223,3.00000000,1,False,-0.00680272,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,3,2,-250,2.00000000,0,False,0.17647059,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,3,3,-250,1.00000000,0,False,-1.0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,3,4,-250,1.00000000,0,False,0.0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,27,pos,3,3,-250,1.00000000,0,False,0.0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,27,pos,3,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,3,1,-250,2.00000000,0,False,0.04166667,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,3,3,-250,0.00000000,0,False,1.0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,3,4,-250,0.00000000,0,False,0,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,29,pos,3,5,-250,1.00000000,0,False,-0.2,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,4,1,-232,3.00000000,1,False,0.06206897,W,stage,binned,is_no_resp
703,2,L,PHC,PHC,25,26,pos,4,2,-250,2.00000000,0,False,-0.21212121,W,stage,binned,is_no_resp
